               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.075224,            0.029154,          3.4546e-08,             0.71762,             0.63696,             0.67557,             0.23239,            0.072463,             0.03382,            3.35e-08,           0.0086965,           0.0086965,           0.0086965
                  81,            0.076654,            0.032111,          3.4497e-08,             0.67392,             0.61265,             0.62543,             0.20215,            0.072777,            0.032521,          3.3553e-08,             0.00868,             0.00868,             0.00868
                  82,            0.076629,            0.030153,          3.4721e-08,             0.68865,              0.6576,             0.66737,             0.23274,            0.071221,            0.033416,          3.3767e-08,           0.0086635,           0.0086635,           0.0086635
                  83,            0.075228,            0.027804,          3.4605e-08,             0.72751,             0.65103,             0.69197,              0.2475,            0.071304,            0.032328,          3.3172e-08,            0.008647,            0.008647,            0.008647
                  84,            0.076463,            0.032908,          3.4299e-08,             0.70364,             0.70381,             0.69163,             0.24316,            0.071169,            0.035705,          3.4084e-08,           0.0086305,           0.0086305,           0.0086305
                  85,            0.074426,            0.029756,          3.4679e-08,             0.72461,             0.67384,             0.69435,              0.2486,            0.070875,            0.033995,           3.386e-08,            0.008614,            0.008614,            0.008614
                  86,            0.073899,            0.028556,          3.4641e-08,             0.72924,             0.68217,             0.70339,             0.25575,            0.070293,            0.033026,          3.3966e-08,           0.0085975,           0.0085975,           0.0085975
                  87,              0.0743,            0.028708,          3.4816e-08,             0.71861,              0.6576,             0.69794,             0.24569,            0.070969,            0.032797,          3.3638e-08,            0.008581,            0.008581,            0.008581
                  88,            0.072888,            0.026886,          3.4648e-08,             0.70389,             0.65947,             0.67361,             0.23719,             0.07186,            0.032792,          3.3917e-08,           0.0085645,           0.0085645,           0.0085645
                  89,            0.075313,            0.027252,          3.4848e-08,             0.74775,             0.67572,             0.72313,             0.26169,            0.070189,            0.032406,          3.4015e-08,            0.008548,            0.008548,            0.008548
                  90,            0.073776,            0.027904,          3.4622e-08,             0.72839,             0.66667,             0.69837,             0.25887,            0.071238,            0.032736,          3.3497e-08,           0.0085315,           0.0085315,           0.0085315
                  91,             0.07468,            0.030877,          3.4601e-08,             0.72004,             0.64822,             0.67025,             0.23638,            0.070726,            0.032306,          3.3858e-08,            0.008515,            0.008515,            0.008515
                  92,            0.073097,             0.03178,          3.5005e-08,             0.68582,             0.67166,             0.68303,             0.26073,            0.069851,            0.033058,          3.4107e-08,           0.0084985,           0.0084985,           0.0084985
                  93,            0.075863,            0.032484,          3.4893e-08,             0.70075,             0.66229,             0.69145,             0.25746,            0.070804,            0.032771,          3.4154e-08,            0.008482,            0.008482,            0.008482
                  94,            0.074755,            0.029165,          3.4776e-08,             0.69465,             0.65854,             0.68097,             0.24397,            0.071092,            0.032896,          3.3728e-08,           0.0084655,           0.0084655,           0.0084655
                  95,            0.074468,            0.031909,          3.4753e-08,             0.71537,               0.646,             0.68895,             0.24122,            0.071589,            0.032771,          3.3563e-08,            0.008449,            0.008449,            0.008449
                  96,            0.075268,            0.032621,          3.4478e-08,             0.73286,             0.67917,             0.71647,              0.2599,            0.069735,            0.032452,          3.3655e-08,           0.0084325,           0.0084325,           0.0084325
                  97,            0.074223,            0.031493,          3.4737e-08,             0.73581,             0.65318,             0.70684,             0.26265,            0.069553,            0.032394,          3.3588e-08,            0.008416,            0.008416,            0.008416
                  98,            0.075733,            0.028308,          3.4573e-08,             0.73706,             0.66266,             0.70465,             0.25761,            0.070123,            0.032382,          3.3564e-08,           0.0083995,           0.0083995,           0.0083995
                  99,            0.075003,            0.030159,           3.437e-08,             0.73709,             0.66012,             0.69341,             0.24638,            0.070832,            0.032712,          3.3836e-08,            0.008383,            0.008383,            0.008383
                 100,            0.073882,             0.03021,          3.4554e-08,             0.71717,              0.6848,              0.7152,             0.25411,             0.06975,            0.034364,          3.3926e-08,           0.0083665,           0.0083665,           0.0083665
                 101,            0.073259,            0.029387,          3.4208e-08,              0.6919,             0.65478,             0.67433,             0.23376,            0.070537,             0.03193,          3.3215e-08,             0.00835,             0.00835,             0.00835
                 102,            0.073113,            0.028087,          3.4313e-08,             0.72732,              0.6781,             0.70762,             0.25939,            0.069812,            0.032106,          3.3756e-08,           0.0083335,           0.0083335,           0.0083335
                 103,            0.071578,            0.028989,          3.4704e-08,             0.74396,             0.66698,             0.71143,             0.26104,            0.069557,            0.032145,          3.3469e-08,            0.008317,            0.008317,            0.008317
                 104,            0.074759,            0.028841,          3.4473e-08,              0.7225,             0.66041,             0.69304,             0.26248,            0.069645,            0.032008,          3.3765e-08,           0.0083005,           0.0083005,           0.0083005
