               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,             0.12365,             0.32235,           3.311e-08,             0.23723,             0.31718,             0.18722,            0.052427,             0.11405,              0.4579,          3.4575e-08,           0.0091585,           0.0091585,           0.0091585
                  53,             0.12375,             0.36678,          3.3017e-08,             0.23723,             0.31718,             0.18722,            0.052427,             0.11405,              0.4579,          3.4575e-08,            0.009142,            0.009142,            0.009142
                  54,              0.1199,             0.34034,          3.3492e-08,             0.20551,             0.40117,              0.1704,            0.049206,             0.11365,             0.46657,          3.5511e-08,           0.0091255,           0.0091255,           0.0091255
                  55,             0.12199,             0.36486,          3.3238e-08,             0.20551,             0.40117,              0.1704,            0.049206,             0.11365,             0.46657,          3.5511e-08,            0.009109,            0.009109,            0.009109
                  56,             0.11875,             0.32558,          3.3724e-08,             0.26078,             0.34643,             0.20425,            0.053694,             0.11291,             0.45058,          3.5264e-08,           0.0090925,           0.0090925,           0.0090925
                  57,             0.12084,             0.37679,          3.3377e-08,             0.26078,             0.34643,             0.20425,            0.053694,             0.11291,             0.45058,          3.5264e-08,            0.009076,            0.009076,            0.009076
                  58,             0.11981,              0.3343,          3.3053e-08,             0.28057,             0.46218,             0.23607,              0.0675,             0.11249,             0.53677,          3.5486e-08,           0.0090595,           0.0090595,           0.0090595
                  59,              0.1225,              0.3453,          3.3409e-08,             0.28057,             0.46218,             0.23607,              0.0675,             0.11249,             0.53677,          3.5486e-08,            0.009043,            0.009043,            0.009043
                  60,             0.11761,             0.34814,          3.3638e-08,             0.25562,             0.43418,              0.2289,             0.06382,             0.11201,             0.45218,          3.4834e-08,           0.0090265,           0.0090265,           0.0090265
                  61,             0.11727,             0.32126,          3.3501e-08,             0.25562,             0.43418,              0.2289,             0.06382,             0.11201,             0.45218,          3.4834e-08,             0.00901,             0.00901,             0.00901
                  62,             0.11652,             0.29476,          3.3523e-08,              0.3184,             0.47472,             0.28007,            0.076786,             0.11161,             0.47032,          3.4882e-08,           0.0089935,           0.0089935,           0.0089935
                  63,             0.12012,             0.31953,           3.321e-08,              0.3184,             0.47472,             0.28007,            0.076786,             0.11161,             0.47032,          3.4882e-08,            0.008977,            0.008977,            0.008977
                  64,             0.11896,             0.34287,          3.3507e-08,              0.3003,             0.45675,             0.27929,            0.074165,              0.1111,             0.45551,          3.4821e-08,           0.0089605,           0.0089605,           0.0089605
                  65,             0.11292,             0.32432,          3.3469e-08,              0.3003,             0.45675,             0.27929,            0.074165,              0.1111,             0.45551,          3.4821e-08,            0.008944,            0.008944,            0.008944
                  66,             0.11911,             0.36404,          3.2932e-08,             0.34616,             0.48684,             0.30632,            0.083823,             0.11087,             0.52731,          3.4627e-08,           0.0089275,           0.0089275,           0.0089275
                  67,             0.10837,             0.34067,          3.3828e-08,             0.34616,             0.48684,             0.30632,            0.083823,             0.11087,             0.52731,          3.4627e-08,            0.008911,            0.008911,            0.008911
                  68,             0.12069,             0.33012,          3.2821e-08,             0.28686,             0.48308,             0.27078,            0.073484,              0.1104,             0.46225,          3.3699e-08,           0.0088945,           0.0088945,           0.0088945
                  69,             0.12194,             0.35779,          3.3066e-08,             0.28686,             0.48308,             0.27078,            0.073484,              0.1104,             0.46225,          3.3699e-08,            0.008878,            0.008878,            0.008878
                  70,              0.1153,             0.32793,          3.2944e-08,             0.33771,             0.48266,             0.28205,            0.076744,             0.11017,             0.47178,          3.3607e-08,           0.0088615,           0.0088615,           0.0088615
                  71,              0.1197,             0.31712,          3.2668e-08,             0.33771,             0.48266,             0.28205,            0.076744,             0.11017,             0.47178,          3.3607e-08,            0.008845,            0.008845,            0.008845
                  72,             0.11796,             0.33703,          3.2753e-08,             0.29057,             0.47346,             0.25493,            0.069326,             0.11037,             0.46349,          3.3205e-08,           0.0088285,           0.0088285,           0.0088285
                  73,             0.11992,             0.30747,          3.2525e-08,             0.29057,             0.47346,             0.25493,            0.069326,             0.11037,             0.46349,          3.3205e-08,            0.008812,            0.008812,            0.008812
                  74,             0.12039,             0.31776,          3.2619e-08,             0.31443,              0.4757,             0.26812,            0.073787,             0.11038,             0.46355,          3.3364e-08,           0.0087955,           0.0087955,           0.0087955
                  75,             0.12008,             0.30991,          3.2223e-08,             0.31443,              0.4757,             0.26812,            0.073787,             0.11038,             0.46355,          3.3364e-08,            0.008779,            0.008779,            0.008779
                  76,             0.11816,             0.29393,          3.2362e-08,             0.22441,              0.4275,             0.18142,            0.052338,             0.11169,             0.47231,          3.2526e-08,           0.0087625,           0.0087625,           0.0087625
                  77,              0.1194,             0.36514,          3.2182e-08,             0.22441,              0.4275,             0.18142,            0.052338,             0.11169,             0.47231,          3.2526e-08,            0.008746,            0.008746,            0.008746
                  78,             0.12083,             0.34175,          3.2167e-08,             0.28606,             0.46427,             0.25069,            0.067795,             0.11051,             0.47582,          3.3201e-08,           0.0087295,           0.0087295,           0.0087295
                  79,              0.1147,             0.30574,          3.2707e-08,             0.28606,             0.46427,             0.25069,            0.067795,             0.11051,             0.47582,          3.3201e-08,            0.008713,            0.008713,            0.008713
                  80,             0.11388,             0.31379,          3.2825e-08,             0.27205,             0.46344,               0.236,            0.067348,             0.11042,             0.46005,          3.2762e-08,           0.0086965,           0.0086965,           0.0086965
                  81,             0.11691,             0.35307,          3.2487e-08,             0.27205,             0.46344,               0.236,            0.067348,             0.11042,             0.46005,          3.2762e-08,             0.00868,             0.00868,             0.00868
                  82,              0.1141,             0.34924,          3.2779e-08,             0.30589,             0.47681,             0.25039,            0.071275,              0.1098,              0.4621,          3.3073e-08,           0.0086635,           0.0086635,           0.0086635
                  83,             0.11862,             0.32182,          3.2376e-08,             0.30589,             0.47681,             0.25039,            0.071275,              0.1098,              0.4621,          3.3073e-08,            0.008647,            0.008647,            0.008647
                  84,               0.115,             0.37584,           3.247e-08,             0.28394,             0.45132,             0.25942,            0.070296,             0.10969,             0.47227,          3.3574e-08,           0.0086305,           0.0086305,           0.0086305
                  85,             0.11445,              0.3135,          3.2668e-08,             0.28394,             0.45132,             0.25942,            0.070296,             0.10969,             0.47227,          3.3574e-08,            0.008614,            0.008614,            0.008614
                  86,             0.11488,             0.35467,          3.2621e-08,              0.3125,             0.49812,             0.27193,            0.076979,             0.10844,             0.46957,          3.3029e-08,           0.0085975,           0.0085975,           0.0085975
                  87,             0.11483,             0.33538,          3.2211e-08,              0.3125,             0.49812,             0.27193,            0.076979,             0.10844,             0.46957,          3.3029e-08,            0.008581,            0.008581,            0.008581
                  88,             0.11948,             0.34462,          3.2227e-08,             0.38081,             0.49525,             0.31514,            0.088704,              0.1077,             0.47694,           3.251e-08,           0.0085645,           0.0085645,           0.0085645
                  89,             0.11561,             0.32664,           3.181e-08,             0.38081,             0.49525,             0.31514,            0.088704,              0.1077,             0.47694,           3.251e-08,            0.008548,            0.008548,            0.008548
