               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.083523,             0.10636,          3.0991e-08,             0.71564,             0.63696,             0.68132,             0.25351,            0.076149,             0.10933,          3.1671e-08,             0.00901,             0.00901,             0.00901
                  62,            0.080119,            0.092862,          3.1246e-08,             0.71813,             0.63977,             0.67843,             0.24574,            0.077956,             0.10848,          3.1319e-08,           0.0089935,           0.0089935,           0.0089935
                  63,            0.084685,             0.10406,          3.0797e-08,             0.72897,             0.62758,             0.65732,             0.23839,            0.077157,             0.11027,          3.0668e-08,            0.008977,            0.008977,            0.008977
                  64,             0.07825,            0.094437,          3.0826e-08,             0.70361,             0.61351,             0.66638,             0.24469,             0.07628,             0.10734,          3.1074e-08,           0.0089605,           0.0089605,           0.0089605
                  65,             0.07817,            0.098112,          3.0828e-08,              0.7216,             0.63884,             0.67758,             0.24709,            0.077538,             0.11164,          3.1253e-08,            0.008944,            0.008944,            0.008944
                  66,            0.086578,            0.096725,          3.0928e-08,             0.73444,             0.64165,             0.68722,             0.24972,            0.077286,             0.10932,          3.1233e-08,           0.0089275,           0.0089275,           0.0089275
                  67,            0.081185,            0.089654,          3.1196e-08,             0.73462,             0.64141,             0.67631,             0.24195,            0.077652,             0.10952,          3.1313e-08,            0.008911,            0.008911,            0.008911
                  68,            0.083775,            0.091512,          3.1047e-08,             0.68794,             0.62852,             0.64626,              0.2305,            0.076733,             0.11062,          3.1382e-08,           0.0088945,           0.0088945,           0.0088945
                  69,            0.080329,            0.087545,          3.1212e-08,             0.72949,             0.64071,             0.66917,             0.24459,            0.077648,             0.10948,           3.109e-08,            0.008878,            0.008878,            0.008878
                  70,            0.082524,            0.092723,           3.123e-08,             0.74081,               0.606,             0.67658,             0.24383,            0.078272,             0.11131,          3.1853e-08,           0.0088615,           0.0088615,           0.0088615
                  71,            0.081766,            0.096078,          3.1158e-08,             0.69972,             0.63227,             0.67807,             0.25505,            0.077341,              0.1135,          3.1134e-08,            0.008845,            0.008845,            0.008845
                  72,             0.08222,            0.099964,          3.1032e-08,             0.71993,             0.61973,             0.66087,             0.23916,            0.078161,             0.11099,          3.1049e-08,           0.0088285,           0.0088285,           0.0088285
                  73,            0.079647,            0.098533,          3.1006e-08,             0.73632,             0.64353,             0.68233,              0.2485,            0.076381,             0.11193,          3.1095e-08,            0.008812,            0.008812,            0.008812
                  74,            0.083593,             0.10267,          3.1211e-08,             0.73813,             0.61632,             0.65577,             0.24458,            0.078558,             0.11215,          3.1475e-08,           0.0087955,           0.0087955,           0.0087955
                  75,            0.077764,            0.089923,          3.0741e-08,               0.736,             0.65385,             0.69208,             0.24745,            0.077741,             0.11309,          3.1288e-08,            0.008779,            0.008779,            0.008779
                  76,            0.079727,            0.089065,          3.1213e-08,             0.72889,             0.64313,             0.68273,             0.25031,            0.076704,             0.11054,          3.1381e-08,           0.0087625,           0.0087625,           0.0087625
                  77,            0.078994,            0.092205,          3.1203e-08,             0.71259,             0.59774,             0.64918,             0.23774,            0.079108,             0.11607,           3.136e-08,            0.008746,            0.008746,            0.008746
                  78,            0.079181,              0.0992,          3.0972e-08,             0.67597,             0.63696,             0.66783,             0.22224,            0.078001,             0.11239,          3.1014e-08,           0.0087295,           0.0087295,           0.0087295
                  79,            0.080137,            0.090883,          3.0946e-08,             0.73481,             0.63423,             0.67604,             0.25505,            0.076172,             0.11354,          3.0795e-08,            0.008713,            0.008713,            0.008713
                  80,            0.080134,              0.0923,          3.0959e-08,             0.71379,             0.65197,              0.6681,             0.24492,            0.077528,             0.11378,          3.0638e-08,           0.0086965,           0.0086965,           0.0086965
                  81,            0.080766,            0.099305,          3.0783e-08,             0.74211,             0.64165,             0.68194,             0.25969,            0.076844,             0.11081,          3.1026e-08,             0.00868,             0.00868,             0.00868
