               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  45,             0.11693,             0.11664,          3.5525e-08,               0.144,             0.18053,            0.087626,            0.025453,             0.11226,             0.19213,          4.3901e-08,            0.009274,            0.009274,            0.009274
                  46,             0.11561,             0.10959,          3.5531e-08,             0.14667,             0.18387,            0.089597,            0.026438,             0.11156,             0.19967,          4.3898e-08,           0.0092575,           0.0092575,           0.0092575
                  47,             0.11567,             0.10918,          3.5204e-08,             0.14667,             0.18387,            0.089597,            0.026438,             0.11156,             0.19967,          4.3898e-08,            0.009241,            0.009241,            0.009241
                  48,             0.11926,             0.13067,          3.4902e-08,             0.17026,             0.20978,             0.11223,              0.0319,              0.1109,             0.20057,            4.32e-08,           0.0092245,           0.0092245,           0.0092245
                  49,              0.1152,             0.10975,          3.5909e-08,             0.17026,             0.20978,             0.11223,              0.0319,              0.1109,             0.20057,            4.32e-08,            0.009208,            0.009208,            0.009208
                  50,              0.1177,             0.12066,          3.5826e-08,             0.19434,             0.23861,             0.13413,            0.038495,             0.10951,             0.16464,          3.9023e-08,           0.0091915,           0.0091915,           0.0091915
                  51,             0.11579,             0.11642,          3.5533e-08,             0.19434,             0.23861,             0.13413,            0.038495,             0.10951,             0.16464,          3.9023e-08,            0.009175,            0.009175,            0.009175
                  52,             0.11772,             0.12184,          3.5292e-08,             0.18391,             0.22566,             0.12618,            0.036135,             0.10969,             0.16088,           3.858e-08,           0.0091585,           0.0091585,           0.0091585
                  53,             0.11758,               0.135,          3.4581e-08,             0.18391,             0.22566,             0.12618,            0.036135,             0.10969,             0.16088,           3.858e-08,            0.009142,            0.009142,            0.009142
                  54,             0.11461,             0.12095,          3.5431e-08,             0.17619,             0.21477,             0.11764,            0.033437,             0.10979,             0.17274,          4.0291e-08,           0.0091255,           0.0091255,           0.0091255
                  55,             0.11555,              0.1425,          3.5011e-08,             0.17619,             0.21477,             0.11764,            0.033437,             0.10979,             0.17274,          4.0291e-08,            0.009109,            0.009109,            0.009109
                  56,             0.11386,              0.1192,          3.5561e-08,               0.186,             0.23318,             0.12275,            0.035222,             0.10887,             0.16573,          3.9004e-08,           0.0090925,           0.0090925,           0.0090925
                  57,             0.11506,             0.13673,          3.5472e-08,               0.186,             0.23318,             0.12275,            0.035222,             0.10887,             0.16573,          3.9004e-08,            0.009076,            0.009076,            0.009076
                  58,             0.11472,             0.11838,          3.5622e-08,             0.19331,             0.23402,             0.12644,            0.037356,             0.10797,             0.16877,          3.9159e-08,           0.0090595,           0.0090595,           0.0090595
